Id,p1,sample,p3,p4,p5,
candidate178,8.01E-02,0.175300271,0.14491075,0.002186409,0.968498558,0.274199198
candidate189,0.293290546,0.119727882,0.3857143,0.06631806,0.1203956,0.197089278
candidate191,0.442861959,0.237497634,0.51050174,0.078947015,0.2720103,0.30836373
candidate194,0.132479436,0.144520601,0.10147294,0.000646423,0.48123956,0.172071792
candidate195,0.213834937,0.538001967,0.05022158,0.000784407,0.17130154,0.194828886
candidate197,0.128490774,0.038928103,0.039585993,4.36E-06,0.53637156,0.148676158
candidate201,0.426230696,0.189601584,0.657776,0.16165715,0.0935038,0.305753846
candidate204,0.407165153,0.725149412,0.4431596,0.4426651,0.15797216,0.435222285
candidate223,0.324338975,0.15354965,0.17738071,0.11681792,0.51866314,0.258150079
candidate239,0.180377763,0.319411741,0.38847083,0.064225666,0.5312391,0.29674502
candidate251,0.398188792,0.315432218,0.31258065,0.002814478,0.4063135,0.287065928
candidate252,0.86661389,0.938656538,0.8709013,0.55652547,0.0667201,0.65988346
candidate259,0.87810171,0.685381111,0.93438524,0.42580652,0.15830725,0.616396366
candidate264,0.529087471,0.294813022,0.6056483,0.038604494,0.39651185,0.372933027
candidate268,0.710981223,0.716464332,0.9590567,0.20051323,0.05700237,0.528803571
candidate274,0.637994045,0.192718019,0.53356624,0.30411437,0.19564945,0.372808425
candidate275,0.291120381,0.735703984,0.14302094,0.04412365,0.2020698,0.283207751
candidate278,1.47E-01,0.297853766,0.28949562,0.012777906,0.948766828,0.339178824
candidate284,0.614058641,0.016852811,0.6257035,0.8163403,0.43084687,0.500760424
candidate286,0.836136182,0.447737135,0.91514033,0.47890705,0.15627265,0.566838669
candidate290,0.541239557,0.543604427,0.85615,0.55366445,0.3258633,0.564104347
candidate300,0.245304395,0.353038308,0.22842607,0.001540211,0.65130287,0.295922371
candidate301,0.432643047,0.756407187,0.4995812,0.022470335,0.36919117,0.416058588
candidate302,0.642230326,0.974883291,0.53293425,0.005607036,0.6608495,0.563300881
candidate309,0.36882106,0.838983607,0.27418903,0.01164522,0.3436591,0.367459603
candidate312,0.391820339,0.461231704,0.54538345,0.06685883,0.32032835,0.357124535
candidate329,0.605685285,0.759083507,0.88833123,0.71030235,0.50749683,0.69417984
candidate333,0.256337298,0.794400192,0.22642048,0.25336167,0.71786642,0.449677212
candidate344,0.800224796,0.469098963,0.930134,0.52663946,0.0232117,0.549861784
candidate346,0.408806535,0.305760917,0.24488658,0.013356946,0.36711234,0.267984664
candidate348,0.435169035,0.012055497,0.52369994,0.20520829,0.1381024,0.262847032
candidate354,0.802510567,0.695629466,0.7471701,0.5089013,0.15843314,0.582528915
candidate357,0.218464562,0.134102845,0.3001742,0.028708342,0.302956,0.19688119
candidate360,0.236805052,0.568382647,0.36998126,0.11560927,0.69776484,0.397708614
candidate363,0.390094829,0.761350713,0.1968142,0.029918417,0.3780547,0.351246572
candidate368,0.884282398,0.640156404,0.9218385,0.42201844,0.20747787,0.615154722
candidate373,0.588999373,0.52491279,0.3778238,0.24780996,0.182547,0.384418585
candidate384,0.483673282,0.382827776,0.40374005,0.29228032,0.55228904,0.422962094
candidate390,0.465526078,0.89514209,0.95332456,0.48358965,0.55186915,0.669890306
candidate394,0.281498215,0.174881378,0.34271348,0.33444458,0.3660294,0.299913411
candidate396,0.182885039,0.229755342,0.078286014,0.002869664,0.51673698,0.202106608
candidate397,0.427606859,0.137210576,0.3853609,0.17890084,0.48718524,0.323252883
candidate398,1.03E-01,0.234644411,0.17530426,0.016058015,0.977555472,0.301312432
candidate402,0.347063441,0.320987142,0.5860527,0.21254042,0.1496892,0.323266581
candidate403,0.233100872,0.057744648,0.20809056,0.090143904,0.48465353,0.214746703
candidate412,0.315427562,0.194520445,0.4759976,0.11546345,0.30728304,0.281738419
candidate424,0.320710572,0.041429286,0.2980736,0.06291836,0.0729725,0.159220864
candidate427,0.393053474,0.366934494,0.8814557,0.000133777,0.40095353,0.408506195
candidate431,0.569804286,0.893157031,0.64135885,0.03369256,0.3886354,0.505329625
candidate439,0.694003683,0.219390151,0.6500483,0.20789795,0.1602345,0.386314917
candidate440,0.335515387,0.660161957,0.20403999,0.057896584,0.64681795,0.380886374
candidate450,0.756589161,0.326228859,0.73101616,0.11333626,0.0426724,0.393968568
candidate451,0.694262749,0.314188764,0.69746375,0.4804298,0.36125845,0.509520703
candidate455,0.841423741,0.572280104,0.928839,0.79435164,0.15225327,0.657829551
candidate456,0.335987389,0.711999123,0.19721323,0.006693929,0.4229702,0.334972774
candidate458,0.103659602,0.169810127,0.07545888,0.017067894,0.4870239,0.170604081
candidate459,0.397070365,0.98519164,0.23197842,2.36E-08,0.41858697,0.406565484
candidate463,0.747780401,0.299815072,0.83484703,0.1028302,0.3250237,0.462059281
candidate466,0.763912886,0.529650764,0.8191386,0.88001794,0.31629235,0.661802508
candidate483,0.690807104,0.369969013,0.7496547,0.48053053,0.0325328,0.464698829
candidate486,0.710282469,0.644475263,0.34370217,0.08437609,0.055388,0.367644798
candidate489,0.503100985,0.484786409,0.43636033,0.42829946,0.154185,0.401346437
candidate491,0.137631757,0.289080128,0.2586337,0.21668173,0.7543242,0.331270303
candidate493,0.889689337,0.976814365,0.8879413,0.4291248,0.20815057,0.678344074
candidate498,0.279541966,0.454321742,0.18690704,0.035825755,0.4262568,0.276570661
candidate499,0.430880733,0.983501309,0.2573599,0.25623354,0.4791855,0.481432196
candidate502,0.274610126,0.774300824,0.06278368,0.000602585,0.0841183,0.239283103
candidate509,0.807980594,0.310262004,0.9827392,0.6024392,0.2439313,0.58947046
candidate513,0.373363663,0.26384989,0.31163362,0.054473985,0.54790425,0.310245082
candidate524,0.252092274,0.017476474,0.26647702,0.56389624,0.1094168,0.241871762
candidate530,0.790505695,0.66930106,0.8818408,0.84232765,0.1236376,0.661522561
candidate544,0.437864785,0.365732899,0.52227324,0.05681182,0.4403048,0.364597509
candidate556,0.32632137,0.22664519,0.24077255,0.51325125,0.51144558,0.363687188
candidate563,0.778084122,0.914214468,0.86256266,0.37635633,0.2423348,0.634710476
candidate564,0.588229035,0.107481368,0.84297043,0.15735401,0.20914495,0.381035959
candidate565,0.335266274,0.890278095,0.4045617,0.5927727,0.73119277,0.590814308
candidate580,0.378009726,0.359771424,0.6016164,0.12067416,0.49175423,0.390365188
candidate582,0.083933681,0.059576274,0.13370275,4.42E-05,0.7047315,0.196397681
